Title,Type,language,Date,Link
ع / رياضي / بطولة دوري الدراجات الأولى فريق الفتح يحقق الأول.. ولاعب الشباب أمرواني الأول فردي ,رياضي,عربى,12/1/2024 0:21,https://spa.gov.sa/w2216556
ع / رياضي / نتائج مباريات بطولة الدوري المصري لكرة القدم,رياضي,عربى,12/1/2024 0:29,https://spa.gov.sa/w2216558
"ع / رياضي / نيابةً عن سمو وزير الرياضة.. معالي النائب يتوّج الفائزين في سباق ""سال جدة جي تي 2024""",رياضي,عربى,12/1/2024 1:51,https://spa.gov.sa/w2216562
"ع / علوم وتقنيات / ""موهبة"" والجمعية الخيرية لرعاية الأيتام بالمدينة المنورة ""تكافل"" توقعان مذكرة تفاهم",علوم و تقنيات,عربى,12/1/2024 2:01,https://spa.gov.sa/w2216564
ع / رياضي / بوتافوجو البرازيلي بطلا لكأس ليبرتادوريس بفوزه على مواطنه أتلتيكو مينيرو 1- 3       ,رياضي,عربى,12/1/2024 3:00,https://spa.gov.sa/w2216565
ع / عام / استشهاد طفلين في قصف إسرائيلي على خيمة للنازحين جنوب قطاع غزة,عام,عربى,12/1/2024 4:23,https://spa.gov.sa/w2216577
ع / عام / قوات الاحتلال الإسرائيلي تقتحم مخيم الجلزون شمال رام الله,عام,عربى,12/1/2024 5:36,https://spa.gov.sa/w2216580
ع / رياضي / الدوري الفرنسي .. التعادل الإيجابي يحسم مواجهة سان جيرمان ونانت ,رياضي,عربى,12/1/2024 6:46,https://spa.gov.sa/w2216584
ع / بيئي / حالة الطقس المتوقعة اليوم,البيئة,عربى,12/1/2024 7:00,https://spa.gov.sa/w2216585
ع / عام / قطار الرياض يبدأ استقبال ركابه صباح اليوم  ,عام,عربى,12/1/2024 7:36,https://spa.gov.sa/w2216587
ع / بيئي / المركز الوطني للأرصاد ينبه من تكوّن أمطار على منطقة عسير,البيئة,عربى,12/1/2024 7:38,https://spa.gov.sa/w2216588
ع / سياسي / اهتمامات الصحف الباكستانية,سياسي,عربى,12/1/2024 7:50,https://spa.gov.sa/w2216589
ع / عام / زلزال بقوة 4.9 درجات يضرب قبالة سواحل نيوزيلندا,عام,عربى,12/1/2024 8:26,https://spa.gov.sa/w2216593
ع / سياسي / قوات الاحتلال الإسرائيلي تنفّذ حملة اعتقالات بالضفة الغربية,سياسي,عربى,12/1/2024 8:35,https://spa.gov.sa/w2216597
ع / اقتصادي / نمو الصادرات الكورية الجنوبية بنسبة 1.4% ,اقتصادي,عربى,12/1/2024 9:01,https://spa.gov.sa/w2216598
ع / سياسي / جيبوتي تترأس مجلس السلم والأمن الأفريقي خلال ديسمر ,سياسي,عربى,12/1/2024 9:24,https://spa.gov.sa/w2216600
ع / سياسي / الناخبون في رومانيا يدلون بأصواتهم في الانتخابات البرلمانية,سياسي,عربى,12/1/2024 9:32,https://spa.gov.sa/w2216601
ع / ثقافي / بدء جلسات المؤتمر الدولي الـ 37 لمسلمي أمريكا اللاتينية ودول البحر الكاريبي بالبرازيل,ثقافي,عربى,12/1/2024 10:00,https://spa.gov.sa/w2216605
"ع / اقتصادي / ""هيئة العقار"" تُنفذ 12 جولة رقابية مشتركة لضمان الامتثال في السوق العقاري",اقتصادي,عربى,12/1/2024 10:27,https://spa.gov.sa/w2216612
ع / عام / رئيس وزراء منغوليا يصل الرياض,البيئة,عربى,12/1/2024 10:29,https://spa.gov.sa/w2216615
"ع / عام / الإمارات في يومها الوطني الـ 53 .. نهضة شاملة تقودها ""رؤية 2031""",عام,عربى,12/1/2024 10:40,https://spa.gov.sa/w2216619
ع / عام / المرور السعودي: استخدام الهاتف المحمول (الجوال) أثناء قيادة المركبة يتصدّر مسببات الحوادث المرورية في المنطقة الشرقية,عام,عربى,12/1/2024 11:00,https://spa.gov.sa/w2216628
ع / سياسي / استشهاد أسيرين نتيجة التعذيب داخل معتقلات الاحتلال الإسرائيلي,سياسي,عربى,12/1/2024 11:02,https://spa.gov.sa/w2216629
"ع / صحي / ""الإحصاء"" تعلن نتائج النشاط البدني في المملكة 2024",الصحة,عربى,12/1/2024 11:05,https://spa.gov.sa/w2216631
ع / سياسي / اهتمامات الصحف المصرية,سياسي,عربى,12/1/2024 11:06,https://spa.gov.sa/w2216634
"ع / عام / ""العمليات الأمنية"" تتلقى (2.577.867) اتصالًا عبر رقم (911) خلال شهر نوفمبر الماضي ",عام,عربى,12/1/2024 11:51,https://spa.gov.sa/w2216650
"ع / عام / ""الموارد البشرية"" تعلن بدء تطبيق المرحلة الثالثة من توثيق عقود توطين التشغيل والصيانة إلكترونيًّا",عام,عربى,12/1/2024 11:59,https://spa.gov.sa/w2216654
ع / عام / خادم الحرمين الشريفين يهنئ رئيس جمهورية أفريقيا الوسطى بذكرى يوم الجمهورية لبلاده,عام,عربى,12/1/2024 12:01,https://spa.gov.sa/w2216655
